start_time,trip_count
"1/19/2015 10",27
"1/19/2015 11",29
"1/19/2015 12",21
"1/19/2015 13",21
"1/19/2015 14",33
"1/19/2015 15",45
"1/19/2015 16",49
"1/19/2015 17",55
"1/19/2015 18",61
"1/19/2015 19",33
"1/19/2015 20",15
"1/19/2015 21",11
"1/19/2015 22",8
"1/19/2015 23",3
"1/19/2015 3",2
"1/19/2015 4",2
"1/19/2015 5",1
"1/19/2015 6",11
"1/19/2015 7",45
"1/19/2015 8",87
"1/19/2015 9",59
"1/2/2014 1",1
"1/2/2014 10",32
"1/2/2014 11",30
"1/2/2014 12",47
"1/2/2014 13",37
"1/2/2014 14",28
"1/2/2014 15",58
"1/2/2014 16",84
"1/2/2014 17",98
"1/2/2014 18",62
"1/2/2014 19",32
"1/2/2014 20",8
"1/2/2014 21",9
"1/2/2014 22",7
"1/2/2014 23",6
"1/2/2014 4",1
"1/2/2014 5",6
"1/2/2014 6",13
"1/2/2014 7",47
"1/2/2014 8",95
"1/2/2014 9",66
"1/2/2015 10",21
"1/2/2015 11",40
"1/2/2015 12",34
"1/2/2015 13",28
"1/2/2015 14",29
"1/2/2015 15",25
"1/2/2015 16",45
"1/2/2015 17",38
"1/2/2015 18",15
"1/2/2015 19",8
"1/2/2015 2",1
"1/2/2015 20",6
"1/2/2015 21",7
"1/2/2015 22",7
"1/2/2015 23",1
"1/2/2015 4",1
"1/2/2015 5",4
"1/2/2015 6",6
"1/2/2015 7",26
"1/2/2015 8",49
"1/2/2015 9",37
"1/20/2014 0",4
"1/20/2014 1",5
"1/20/2014 10",25
"1/20/2014 11",32
"1/20/2014 12",29
"1/20/2014 13",33
"1/20/2014 14",37
"1/20/2014 15",47
"1/20/2014 16",71
"1/20/2014 17",65
"1/20/2014 18",52
"1/20/2014 19",33
"1/20/2014 20",13
"1/20/2014 21",11
"1/20/2014 22",9
"1/20/2014 23",9
"1/20/2014 5",3
"1/20/2014 6",6
"1/20/2014 7",24
"1/20/2014 8",52
"1/20/2014 9",55
"1/20/2015 0",2
"1/20/2015 10",40
"1/20/2015 11",35
"1/20/2015 12",47
"1/20/2015 13",38
"1/20/2015 14",28
"1/20/2015 15",41
"1/20/2015 16",121
"1/20/2015 17",175
"1/20/2015 18",116
"1/20/2015 19",50
"1/20/2015 20",36
"1/20/2015 21",11
"1/20/2015 22",11
"1/20/2015 23",5
"1/20/2015 4",5
"1/20/2015 5",9
"1/20/2015 6",22
"1/20/2015 7",86
"1/20/2015 8",198
"1/20/2015 9",137
"1/21/2014 0",3
"1/21/2014 10",38
"1/21/2014 11",29
"1/21/2014 12",44
"1/21/2014 13",49
"1/21/2014 14",33
"1/21/2014 15",43
"1/21/2014 16",73
"1/21/2014 17",143
"1/21/2014 18",79
"1/21/2014 19",52
"1/21/2014 20",27
"1/21/2014 21",12
"1/21/2014 22",13
"1/21/2014 23",2
"1/21/2014 4",1
"1/21/2014 5",5
"1/21/2014 6",33
"1/21/2014 7",67
"1/21/2014 8",156
"1/21/2014 9",109
"1/21/2015 0",3
"1/21/2015 10",55
"1/21/2015 11",37
"1/21/2015 12",48
"1/21/2015 13",27
"1/21/2015 14",30
"1/21/2015 15",51
"1/21/2015 16",128
"1/21/2015 17",182
"1/21/2015 18",118
"1/21/2015 19",55
"1/21/2015 2",1
"1/21/2015 20",23
"1/21/2015 21",22
"1/21/2015 22",20
"1/21/2015 23",6
"1/21/2015 3",1
"1/21/2015 4",3
"1/21/2015 5",6
"1/21/2015 6",30
"1/21/2015 7",98
"1/21/2015 8",228
"1/21/2015 9",142
"1/22/2014 0",1
"1/22/2014 10",45
"1/22/2014 11",45
"1/22/2014 12",53
"1/22/2014 13",49
"1/22/2014 14",37
"1/22/2014 15",39
"1/22/2014 16",81
"1/22/2014 17",152
"1/22/2014 18",88
"1/22/2014 19",52
"1/22/2014 20",43
"1/22/2014 21",17
"1/22/2014 22",14
"1/22/2014 23",8
"1/22/2014 3",1
"1/22/2014 4",1
"1/22/2014 5",10
"1/22/2014 6",26
"1/22/2014 7",72
"1/22/2014 8",140
"1/22/2014 9",97
"1/22/2015 0",1
"1/22/2015 1",1
"1/22/2015 10",47
"1/22/2015 11",40
"1/22/2015 12",45
"1/22/2015 13",36
"1/22/2015 14",33
"1/22/2015 15",57
"1/22/2015 16",105
"1/22/2015 17",176
"1/22/2015 18",106
"1/22/2015 19",54
"1/22/2015 20",28
"1/22/2015 21",13
"1/22/2015 22",14
"1/22/2015 23",4
"1/22/2015 4",3
"1/22/2015 5",8
"1/22/2015 6",32
"1/22/2015 7",99
"1/22/2015 8",189
"1/22/2015 9",133
"1/23/2014 0",1
"1/23/2014 1",1
"1/23/2014 10",47
"1/23/2014 11",55
"1/23/2014 12",68
"1/23/2014 13",73
"1/23/2014 14",64
"1/23/2014 15",45
"1/23/2014 16",86
"1/23/2014 17",124
"1/23/2014 18",82
"1/23/2014 19",39
"1/23/2014 2",1
"1/23/2014 20",22
"1/23/2014 21",13
"1/23/2014 22",10
"1/23/2014 23",7
"1/23/2014 3",1
"1/23/2014 4",3
"1/23/2014 5",8
"1/23/2014 6",31
"1/23/2014 7",68
"1/23/2014 8",126
"1/23/2014 9",119
"1/23/2015 0",2
"1/23/2015 1",1
"1/23/2015 10",46
"1/23/2015 11",51
"1/23/2015 12",46
"1/23/2015 13",44
"1/23/2015 14",41
"1/23/2015 15",65
"1/23/2015 16",112
"1/23/2015 17",144
"1/23/2015 18",98
"1/23/2015 19",40
"1/23/2015 2",5
"1/23/2015 20",13
"1/23/2015 21",11
"1/23/2015 22",8
"1/23/2015 23",12
"1/23/2015 4",1
"1/23/2015 5",8
"1/23/2015 6",21
"1/23/2015 7",94
"1/23/2015 8",183
"1/23/2015 9",118
"1/24/2014 0",2
"1/24/2014 1",2
"1/24/2014 10",42
"1/24/2014 11",46
"1/24/2014 12",58
"1/24/2014 13",54
"1/24/2014 14",38
"1/24/2014 15",40
"1/24/2014 16",96
"1/24/2014 17",109
"1/24/2014 18",80
"1/24/2014 19",47
"1/24/2014 20",23
"1/24/2014 21",7
"1/24/2014 22",13
"1/24/2014 23",3
"1/24/2014 4",2
"1/24/2014 5",7
"1/24/2014 6",22
"1/24/2014 7",77
"1/24/2014 8",146
"1/24/2014 9",107
"1/24/2015 0",12
"1/24/2015 1",2
"1/24/2015 10",36
"1/24/2015 11",21
"1/24/2015 12",41
"1/24/2015 13",40
"1/24/2015 14",45
"1/24/2015 15",36
"1/24/2015 16",29
"1/24/2015 17",36
"1/24/2015 18",26
"1/24/2015 19",20
"1/24/2015 20",5
"1/24/2015 21",5
"1/24/2015 22",6
"1/24/2015 23",10
"1/24/2015 5",7
"1/24/2015 6",2
"1/24/2015 7",7
